;commit_hash;author_date_unix_timestamp;commit_message;fix;classification;contains_bug;ns;nd;nf;entropy;la;ld;lt;ndev;age;nuc;exp;rexp;sexp;contains_bug_gpt;vl;vl_gpt
30;ae7da5f089fefad4c21eee9a4e0f4cd0fc934968;1302877959;minor tweak to the home page ;False;;False;1.0;1.0;1.0;0.0;1.0;4.0;28.0;1.0;0.2246759259259259;1.0;17.0;17.0;13.0;0;0;0
31;6efa744af5f55d8ebccf4930339521bc7c8184ea;1302878413;Adding mvn license plugin to mvn pom -  ;False;Feature Addition;False;2.0;2.0;2.0;0.4138168503036337;75.0;9.0;241.0;2.0;0.1299826388888889;1.0;1.0;1.0;0.0;0;0;0
32;b2dcfc440ca7c97e28cf91d23e8de7c1d4bd7c70;1302879600;Implementing a activemq discovery agent for the fuse fabric -  ;False;Feature Addition;False;1.0;3.0;5.0;1.583491823954884;389.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0;0;0
33;8924b8dd15150346ff03d4e9ca498a17bf7b3615;1302894310;Added a fabric-group module which handles doing group management over ZK -  ;False;Feature Addition;False;3.0;8.0;8.0;2.7055304502725765;752.0;5.0;67.625;3.0;0.0229991319444444;1.0;3.0;3.0;0.3333333333333333;0;0;0
34;662509ecc932b7834ace530ecd237cf7f5b52f5f;1302986317;Simplified the Groups interface -  ;False;;False;1.0;4.0;4.0;1.6451786293564514;60.0;111.0;131.75;1.0;1.0648958333333334;1.0;4.0;4.0;1.0;0;0;0
35;67a6e4fd157df16bc669d91b6bebdf21d2c310e6;1302986362;Added an activemq discovery agent which uses the fabric groups feature -  ;False;Feature Addition;True;1.0;3.0;4.0;1.013162041693639;270.0;0.0;14.5;1.0;0.3089178240740741;1.0;5.0;5.0;1.0;1;32;32
36;336fab359e1adbde9658da69eedc15130bea917c;1302986419;Updated the fabric camel component to use the common fabric group API -  ;False;;False;1.0;2.0;7.0;2.6255807182940964;119.0;208.0;75.14285714285714;3.0;1.4609176587301589;5.0;6.0;6.0;0.0;0;0;0
37;a0648e400c05d25ab0ffd74b61076a053e60cdac;1302987005;Restrict the depth tracking to 1 level -  ;False;;False;1.0;1.0;1.0;0.0;1.0;1.0;164.0;1.0;0.0079629629629629;1.0;7.0;7.0;2.0;0;0;0
38;2cdeacbdb6175f917be12ff97bd6415b9b8069e5;1302988021;Make sure we only load member data from nodes which match the ephemeral node naming convention -  ;False;;False;1.0;1.0;1.0;0.0;9.0;2.0;164.0;1.0;0.0117592592592592;1.0;8.0;8.0;3.0;0;0;0
39;8c122b62c8d9bec3e387767944235dd77e3b1163;1303137419;Fix the lic header -  ;True;Corrective;False;1.0;1.0;1.0;0.0;6.0;12.0;171.0;1.0;1.7291435185185184;1.0;9.0;9.0;4.0;0;0;0
40;dc1b7eef7468fd66cae9e3cc79421581583f8ce6;1303148952;Adding a launcher service implementation which can start/stop sub processes and restart them if they fail -  ;True;Corrective;False;2.0;11.0;18.0;3.26198895512387;1419.0;0.0;31.444444444444443;3.0;0.163735853909465;1.0;10.0;10.0;1.0;0;0;0
41;94ab27c3d03da9623808b3223447e5a1f7c9359e;1303149001;Adding a monitor modules which gathers metrics based on polling intervals -  ;False;Feature Addition;False;2.0;9.0;20.0;3.92708076135561;1505.0;0.0;28.55;3.0;2.8356481481481483e-05;1.0;11.0;11.0;1.5;0;0;0
42;baf517ca7684cee1a7af4a681746796343520b05;1303226769;Initial DOSGi implementation for Fabric ;False;Feature Addition;True;2.0;9.0;31.0;4.231818681663254;6265.0;0.0;15.548387096774194;3.0;0.138447207287933;1.0;10.0;10.0;2.5;1;0;1
43;8aa4de6233d2aecd0cecfd436fd830465343be21;1303283675;Clean dosgi stuff a bit ;False;Perfective;True;1.0;7.0;31.0;3.49310903372104;1033.0;554.0;181.06451612903223;1.0;0.5311566606929509;1.0;11.0;11.0;1.0;1;0;1
44;2607c8c0c42d20e6b43a6994ffa567beff3688b2;1303290205;Fix a problem with blueprint / maven filtering ;True;Corrective;False;1.0;1.0;1.0;0.0;4.0;4.0;127.0;2.0;1.1574074074074072e-05;1.0;28.0;12.0;5.0;0;0;0
45;426df461c9f355525bb64ba2e1d0ef09e9d30093;1303290205;Fix a problem with blueprint / maven filtering ;True;Corrective;False;1.0;1.0;1.0;0.0;4.0;4.0;127.0;1.0;6.550451388888889;1.0;12.0;12.0;3.0;0;0;0
46;28b1b5acb552224499f666fced62320a7ac01823;1303291734;[fabric-dosgi] Make sure the framework property is indexed ;False;;False;1.0;1.0;1.0;0.0;3.0;2.0;457.0;1.0;0.0932754629629629;1.0;13.0;13.0;2.0;0;0;0
47;ef21f86b1bc54caf270df25b0525571dd2ff8c99;1303292915;Fix unit tests ;True;Corrective;False;1.0;3.0;3.0;1.23351373082862;46.0;17.0;223.0;1.0;0.2953973765432099;3.0;14.0;14.0;3.0;0;0;0
48;dc2e663c11cc555355bd8454bb6d0d6510e891b1;1303307758;Cleanup a bit ;False;Perfective;True;1.0;8.0;11.0;2.612940141474297;122.0;147.0;247.3636363636364;1.0;0.3439835858585858;3.0;15.0;15.0;4.0;1;523;523
49;04e4e5862767c87bd0799e99643775f1d4499980;1303310313;Better discovery for bundles classloaders ;False;Perfective;True;2.0;6.0;11.0;2.83006383356647;588.0;121.0;125.72727272727272;3.0;0.183873106060606;2.0;16.0;16.0;5.5;0;0;0
50;e3c7653c27cdcf1ed0bf0713716bdef4d2a03667;1303310489;Fix javadoc ;True;Corrective;False;1.0;1.0;1.0;0.0;6.0;15.0;126.0;1.0;0.002037037037037;1.0;17.0;17.0;6.0;0;0;0
51;ca989f731ad18d05f41b812a107884bd77be411f;1303321121;Fixing osgi dependency -  -  could not find the other one in central -  ;True;Corrective;False;2.0;2.0;2.0;1.0;4.0;4.0;345.5;3.0;0.1250925925925926;1.0;12.0;12.0;2.0;0;0;0
52;24fd25686fa01563604d56e30545907f90d4ee45;1303321174;Try to fully drain the pending list when the transport requests a refill -  ;False;;True;1.0;1.0;1.0;0.0;7.0;7.0;171.0;1.0;0.1552777777777777;1.0;13.0;13.0;1.0;1;0;0
53;bd6685b6b748062d9713a6dac300f8c3a0c29304;1303321233;Use hawtbuf lib to make it easier to avoid a couple of array copies in during encoding/decoding -  ;False;;True;1.0;2.0;3.0;0.8208085528530793;93.0;57.0;155.66666666666666;2.0;0.1973186728395062;3.0;14.0;14.0;2.0;1;0;0
54;06ff03dc18ce03e43eb094a38261bdb6df6f3289;1303322378;Make sure the bundle has a minimal number of deps ;False;;False;1.0;1.0;1.0;0.0;1.0;0.0;117.0;2.0;0.0132523148148148;1.0;18.0;18.0;7.0;0;0;0
55;996b2c92bb92484311bfa4b8328f23ae58150d77;1303331893;have the server invoker use hawtbuf too -  -   Move encoding/decoding work off the serial queue as much as possible -  ;False;;False;1.0;1.0;2.0;0.9652016987500656;82.0;46.0;203.5;2.0;0.3407291666666667;2.0;15.0;15.0;3.0;0;0;0
56;3c2c2ae9233f1bb429f5ac5be9b8710ad9803735;1303332987;Make sure the size is the first field of the data encoded -  ;False;;False;1.0;1.0;2.0;0.9993375041688848;31.0;35.0;221.5;2.0;0.012662037037037;1.0;16.0;16.0;4.0;0;0;0
57;8ec1cba8f769bf66c4b4d5fcccb995df49e91ac8;1303333974;clear the size when we clear the list -  ;False;;False;1.0;1.0;1.0;0.0;1.0;0.0;164.0;2.0;0.1474652777777777;1.0;17.0;17.0;5.0;0;0;0
58;604775a44b1e6d8259ff84e620ec6d14e0585241;1303334638;Add a junit test for the invocation ;False;Feature Addition;False;1.0;1.0;2.0;0.52764232609436;67.0;0.0;64.5;1.0;0.1407696759259259;1.0;19.0;18.0;8.0;0;0;0
59;ae0766e4666ab693b7d45aecf72ed09dc6ebd33b;1303383643;Introduce fabric-util module ;False;Feature Addition;False;2.0;3.0;4.0;1.634539426689265;173.0;1.0;141.5;3.0;1.4158940972222225;1.0;0.0;0.0;0.0;0;0;0
60;0bfd738b69e5f9ea3dd84d5a1e170642a5f7a4f7;1303392764;Fix problem in the codec logic ;True;Corrective;False;1.0;1.0;1.0;0.0;1.0;1.0;165.0;2.0;0.6804398148148149;1.0;20.0;18.0;9.0;0;0;0
61;eec48ffc9ee4c04681fcad7523c583ae83d8dc5e;1303395579;Add a load test ;False;Feature Addition;True;1.0;3.0;6.0;1.916177831441754;169.0;59.0;328.1666666666667;2.0;0.8829089506172839;5.0;21.0;18.5;10.0;1;0;0
62;33d07017c5e7e5a4178df5345b8d6b12bd3d6cb1;1303398895;lets only use 1  slf4j backend -  ;False;;False;1.0;2.0;2.0;0.6609623351442085;29.0;6.0;59.0;2.0;0.442806712962963;1.0;18.0;18.0;6.0;0;0;0
63;5b5e7d0abe76238c2ceb4d0e61ce1f006d05f1b6;1303398970;Expose the full() method in the codec and have the transport delegate to that -  Fix the empty() method in our codec impl -  ;True;Corrective;False;1.0;2.0;3.0;1.2364405016961446;14.0;10.0;368.6666666666667;2.0;0.4818364197530864;3.0;19.0;19.0;7.0;0;0;0
64;6f4cffabdf241f002ae85973153b70760e1cd727;1303399132;Fixes for idle transport tracking -  ;True;Corrective;True;1.0;1.0;1.0;0.0;25.0;21.0;185.0;2.0;0.0411226851851851;1.0;20.0;20.0;8.0;1;521;521
65;2ec4572c1a67126f41a25dac889193504f40680e;1303400602;Bump up the load a little and track average latency -  ;False;;False;1.0;1.0;1.0;0.0;31.0;3.0;144.0;1.0;0.058136574074074;1.0;21.0;21.0;9.0;0;0;0
66;62ddc41ac17dff557dced2280ab18e86b6d61cba;1303401545;Also track requests per second -  ;False;;False;1.0;1.0;1.0;0.0;11.0;12.0;172.0;2.0;0.0109143518518518;1.0;22.0;22.0;10.0;0;0;0
67;c8a423eb510cde5d22714b2854c95f0302a581d1;1303403664;Avoid a couple of UTF-8 encode/decodes -  ;False;;True;1.0;1.0;2.0;0.9874750082985964;43.0;33.0;224.5;2.0;0.0935763888888888;1.0;23.0;23.0;11.0;1;0;0
68;bd7706a586cd13d265652d0e23de10f11e60590c;1303404586;Have the proxy track the last request size so we can get good subsequent sizings of the serialization byte[] to avoid array copies -  ;False;;False;1.0;1.0;1.0;0.0;9.0;6.0;238.0;2.0;0.0106712962962962;1.0;24.0;24.0;12.0;0;0;0
69;e12954d097f2289288c683586bbb71a32500c826;1303404689;Simplify -  ;False;;False;1.0;1.0;1.0;0.0;5.0;5.0;241.0;2.0;0.0011921296296296;1.0;25.0;25.0;13.0;0;0;0
70;2febc062b989b833a15bde8cdb9020fa95bb119c;1303408527;Merge profiles to master -  ;False;Non Functional;False;4.0;10.0;20.0;3.234202666266868;495.0;140.0;72.15;2.0;5.766307870370371;6.0;1.0;1.0;0.0;0;0;0
71;4bd97af8250497a3d6c04f62380d7c1c01ad1019;1303410261;remove debug println ;True;Corrective;False;1.0;1.0;1.0;0.0;0.0;1.0;838.0;2.0;0.1306828703703703;1.0;26.0;26.0;14.0;0;0;0
72;6830d60131bea229609fd71b271e7875b806dbfa;1303411798;Use a custom encoding of the method name args types -   This version is cheaper  allows caching  and encodes to less space -   Also opens up the possibility of avoiding object serialization altogether for the argument payload -  ;False;;True;1.0;2.0;3.0;1.433534171967232;188.0;45.0;211.0;2.0;0.0983641975308641;3.0;27.0;27.0;15.0;1;0;0
73;f3230978372253f8bf47f2e882f44f2118f80466;1303413583;Adding process polling support to the monitor -  and Reuse those monitor bits in the launcher to monitor the launched processes -  ;False;Feature Addition;False;2.0;7.0;9.0;2.470366780763516;309.0;19.0;118.22222222222224;1.0;2.381971450617284;2.0;28.0;28.0;1.0;0;0;0
74;dfeea47ece7b765b9c93ea07dd1107f569b7b8be;1303420303;Fix timeouts ;True;Corrective;False;2.0;3.0;5.0;1.7062838895655046;26.0;11.0;289.0;4.0;0.2227986111111111;4.0;22.0;18.0;9.0;0;0;0
75;68ff3042a86ff470f9f712bccf4d119698baf32c;1303452034;Add a feature for fabric-dosgi ;False;Feature Addition;False;3.0;3.0;3.0;0.6234269926422318;119.0;101.0;276.0;4.0;2.795339506172839;2.0;23.0;19.0;8.0;0;0;0
76;66da92c383c7f5df66ac535bd8bfadb4f232871f;1303478625;Use the -noimport directive ;False;;False;1.0;1.0;1.0;0.0;1.0;5.0;25.0;1.0;0.8113194444444445;1.0;24.0;19.0;0.0;0;0;0
77;9ba0f976af0c29aff987424c9b69fcbe3cf464d2;1303482630;Improve zk-cluster command a bit ;False;;False;2.0;3.0;3.0;1.206908425151817;17.0;7.0;174.33333333333334;1.0;5.436836419753086;3.0;25.0;20.0;4.0;0;0;0
78;9593dfa526aa0a4e462af59c12b0ddfeaa73e215;1303483542;Decouple the argument/response serialization strategy into a pluggable interface which can also be used to implement alternative threading strategies like the pure async callback approach -  ;False;Feature Addition;True;1.0;2.0;5.0;2.094994038956804;212.0;121.0;114.8;2.0;0.2927731481481481;1.0;29.0;28.0;16.0;1;520;520
79;1eb8c30edcd9fc33dba2ce3e154e264cc435585d;1303486859;Adding a strategy to support using continuation passing style remote method invocations so you can implement pure async clients and servers -  ;False;Feature Addition;True;1.0;3.0;6.0;1.68373228187119;246.0;2.0;118.83333333333331;2.0;0.1575906635802469;2.0;30.0;28.5;17.0;1;520;520
80;a52bcbe124c32d6375f4039702a73df9369c047e;1303488985;Cleanup public interfaces a bit  rename some of the internal implementation interfaces -   Added a Dispatched interface which can be used to invoke services on a hawtdispatch queue of the services choosing instead of the blocking thread pool -  ;False;Feature Addition;True;1.0;4.0;11.0;2.8889334360179264;88.0;52.0;111.72727272727272;2.0;0.2227420033670035;3.0;31.0;29.5;18.0;1;1641;1641
81;4a6125cd47bbf500786764cf591f840967360b0b;1303491751;Extract a SerializationStrategy interface -  ;False;;True;1.0;2.0;6.0;2.189956799864992;186.0;80.0;131.33333333333334;2.0;0.0213425925925925;1.0;32.0;30.5;19.0;1;430;430
82;993524e8185d8a9fc07235f9e2b4f043dd769046;1303492372;Cache the invocation strategy objects -  ;False;;False;1.0;1.0;2.0;0.9998952874186192;53.0;30.0;263.5;2.0;0.0071875;1.0;33.0;31.5;20.0;0;0;0
83;becfdc69d2ba3d4b5bd087744173faf1b216fc54;1303493389;Make the strategy object stateless singletons to reduce memory overhead -  ;False;;False;1.0;2.0;6.0;2.24354949934631;58.0;53.0;152.0;2.0;0.0218981481481481;3.0;34.0;32.5;21.0;0;0;0
84;cd2e25501eea633212ab59acdf729aa11a2f7c03;1303493699;Revert Merge profiles to master -  This reverts commit 2febc062b989b833a15bde8cdb9020fa95bb119c -   Conflicts:  	fabric-util/pom - xml ;False;Non Functional;True;4.0;10.0;20.0;3.2179644765181115;139.0;494.0;89.7;2.0;0.9452210648148148;2.0;26.0;21.0;2.75;1;0;0
85;94fcae01229d794bf5a35c0119ff298ff874ea43;1303494093;Fix zkpath enum ;True;Corrective;False;1.0;1.0;2.0;0.7219280948873623;25.0;10.0;71.0;2.0;0.0045601851851851;1.0;27.0;22.0;2.0;0;0;0
86;6d5dc2186270cdf55b56c70f3fd0390b70642add;1303495513;The serialization strategy can now be configured via an annotation on the interface method -  ;False;;True;1.0;4.0;9.0;2.651368860111869;108.0;30.0;246.77777777777777;2.0;0.2679732510288065;5.0;35.0;33.5;22.0;1;520;520
87;35608ee3d4bf30ef49d18bef87f846492f0bdef5;1303496879;Add a test case for verifying that a user configured serialization strategy can be used to encode/decode the method payload and response -  ;False;Feature Addition;False;1.0;1.0;1.0;0.0;82.0;4.0;254.0;2.0;0.0158101851851851;1.0;36.0;34.5;23.0;0;0;0
88;aeda2edeb30d95507a4d6db042a63b2ebae98d13;1303740216;Clean up the LoadBlance Processor list before update the member info -  ;False;Perfective;False;2.0;3.0;4.0;1.059867510279798;108.0;0.0;32.75;3.0;2.181125578703704;1.0;0.0;0.0;0.0;0;0;0
89;affd35c18b48c62685b30af3e1c69813659c94c4;1303740671;Added fabric-cxf module ;False;Feature Addition;True;2.0;3.0;4.0;1.3794192471273437;153.0;30.0;176.5;5.0;0.8391261574074075;2.0;1.0;1.0;0.0;1;1;1
90;c6431cb4485f9c1200d86713f3b7bfec5ca09b7f;1303740693;Better process polling -  ;False;Perfective;False;2.0;6.0;9.0;2.0764203461638844;126.0;71.0;173.55555555555554;1.0;5.487394547325104;3.0;37.0;32.5;2.0;0;0;0
91;6a9e147a8b51e3e31267a7ec1b7fc00d1d4c7662;1303740905;remove the change of FabricLocatorEndpoint ;False;;False;1.0;1.0;1.0;0.0;0.0;2.0;133.0;4.0;0.007974537037037;1.0;2.0;2.0;0.0;0;0;0
92;8f0fe68a75c6469ecffc2312a0eef5ba38c13c6b;1303745476;Implemented a Protobuf based serialization strategy -  ;False;Feature Addition;True;2.0;6.0;7.0;1.938334198094307;225.0;104.0;212.28571428571428;5.0;2.2115261243386244;4.0;38.0;33.0;14.5;1;517;517
93;82871fdbd61842eccf5e8f4f8785f559760e0a24;1303747602;Added assert that we are not doing blocking calls from a dispatch queue  also dispatch the result of an async request on the original dispatch queue on which the request was made on -  ;False;Feature Addition;True;1.0;1.0;2.0;0.5916727785823275;24.0;4.0;137.5;1.0;1.483443287037037;2.0;39.0;34.0;25.0;1;517;517
94;269a9f0ad0d6731ba2b49d164d385d637c91d9de;1303747637;Added a load test of the async / proto serialization stuff -  ;False;Feature Addition;False;1.0;1.0;1.0;0.0;145.0;14.0;267.0;2.0;0.025011574074074;1.0;40.0;35.0;26.0;0;0;0
95;952bdbe33a696b66dbf65dbb0caccbeafb004d05;1303802920;Include fabric-util inside fabric-zookeeper  move some stuff in a non public package ;False;;False;6.0;9.0;14.0;3.111102087476122;52.0;81.0;145.92857142857142;6.0;2.840111607142856;7.0;29.0;24.0;4.166666666666667;0;0;0
96;6e5ccf43cbebc982a5536fa7a94a42a0934e892c;1303803951;Fix compiler target level ;True;Corrective;False;2.0;3.0;8.0;2.184837544267348;116.0;61.0;155.25;5.0;4.767261284722222;3.0;30.0;25.0;7.5;0;0;0
97;2327b6befad34c51cd9770fa5dc54a8fb91bea89;1303806752;Fix fabric-camel / osgi ;True;Corrective;False;8.0;8.0;8.0;2.7192945256669794;20.0;6.0;162.25;5.0;6.410811631944444;8.0;31.0;26.0;2.625;0;0;0
98;e49d11e970525ddfbe84a90070f3adc5e152aec2;1303809004;Fix fabric-groups bundle ;True;Corrective;False;1.0;2.0;2.0;0.9709505944546686;2.0;3.0;133.0;1.0;8.647407407407407;2.0;32.0;27.0;1.0;0;0;0
99;b4f1d034cc3626cb7fadacca82c0373ccfcc65c1;1303809254;Created LoadBalanceFeature and added an unit test for it ;False;Feature Addition;True;1.0;4.0;13.0;3.359148412279633;433.0;23.0;11.538461538461538;1.0;0.0610612535612535;2.0;3.0;3.0;1.0;1;21;21
100;0498de611fcdc544e5566316f1dc010cc1009200;1303810721;Enhance configadmin bridge to use ZkPath ;False;;True;3.0;4.0;4.0;1.4462940197051266;26.0;27.0;265.0;5.0;4.095101273148148;4.0;33.0;28.0;7.333333333333333;1;0;0
101;59355c6df8330b61ceaff50d517d581a61ef92a1;1303814449;Fix compilation failure ;True;Corrective;False;1.0;1.0;1.0;0.0;1.0;1.0;67.0;2.0;0.0431481481481481;1.0;34.0;29.0;8.0;0;0;0
102;c5c636b8f96cf1a9ae4dd6621b5ed812954e2590;1303826027;Add support for deploying single bundles that are not part of features ;False;Feature Addition;True;1.0;2.0;3.0;1.353600077345134;65.0;10.0;248.66666666666663;1.0;12.096408179012345;2.0;35.0;30.0;4.0;1;17;17
103;7b177c0d3f2ecb236a5b5f2c1e8c133248ef3e43;1303828013;- Support for configuration writes in Profiles -  - Stub of profile calculation ;False;;False;1.0;2.0;2.0;0.5560554487221581;137.0;2.0;64.0;2.0;2.073935185185185;2.0;2.0;2.0;1.0;0;0;0
104;303d37adcc86f9ff0813e9454d788fca0c5443c8;1303845985;Read operations for profile items: - bundles - features - repositories - configurations ;False;Feature Addition;False;1.0;2.0;3.0;0.7717024264160219;53.0;12.0;101.66666666666669;2.0;1.5906327160493825;3.0;3.0;3.0;2.0;0;0;0
105;4ac0f6824c6f8a9129827d98d3cc2ddf7d778573;1303886789;fixed build ;True;Corrective;True;1.0;1.0;1.0;0.0;1.0;1.0;115.0;1.0;0.8973958333333333;1.0;18.0;9.0;0.0;1;294;294
